TimeStamp,Color,R,G,B,x,y,u`,v`,X,Y,Z
2026-01-07T08:14:58,Orange,255,163,134,0.401976,0.358618,0.24739,0.496589,211.106792,188.336253,125.729752
2026-01-07T08:15:11,Blue,184,211,254,0.262549,0.261852,0.186963,0.419551,262.776949,262.079642,476.012002
2026-01-07T08:15:29,Green,0,216,99,0.306471,0.518753,0.142345,0.542119,123.477232,209.005393,70.417058
2026-01-07T08:15:45,Red,238,103,92,0.465156,0.341189,0.301855,0.49817,142.858469,104.785879,59.475372
2026-01-07T08:15:58,Yellow,253,214,99,0.412986,0.457071,0.21569,0.537107,247.621437,274.054544,77.91216
2026-01-07T08:16:11,White,255,255,255,0.300817,0.312391,0.195747,0.457376,378.113044,392.661717,486.180552
2026-01-07T08:16:24,Gray,128,134,139,0.294726,0.309207,0.192599,0.454639,93.870986,98.483296,126.148651
