TimeStamp,Color,R,G,B,x,y,u`,v`,X,Y,Z
2026-01-07T08:12:34,Orange,255,163,134,0.454519,0.360102,0.283535,0.505431,64.348591,50.981386,26.245065
2026-01-07T08:12:48,Blue,184,211,254,0.29367,0.276548,0.204962,0.434275,67.744706,63.79476,99.143331
2026-01-07T08:13:02,Green,0,216,99,0.318828,0.519816,0.14829,0.543985,29.350165,47.852324,14.853851
2026-01-07T08:13:16,Red,238,103,92,0.517369,0.344381,0.339378,0.508284,46.153864,30.721857,12.33314
2026-01-07T08:13:30,Yellow,253,214,99,0.457583,0.440243,0.248425,0.537774,73.246458,70.470717,16.35517
2026-01-07T08:13:44,White,255,255,255,0.340053,0.323867,0.219166,0.469652,102.584632,97.701813,101.386464
2026-01-07T08:13:58,Gray,128,134,139,0.331557,0.321073,0.214262,0.466845,25.095151,24.301634,26.29194
