,R,G,B,x,y,u`,v`,X,Y,Z
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.0,247.8,11.2,0.3092668,0.3709664,0.1854978,0.478769,322.8154416,339.2482444,411.6313104
std,0.0,4.0249223595,6.260990337,0.0215709005653,0.13783212456,0.0236289775318,0.052174174119,157.977031805,149.733881693,227.871512909
min,0.0,246.0,0.0,0.29962,0.309326,0.143229,0.455436,40.217536,71.396134,4.002356
25%,0.0,246.0,14.0,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
50%,0.0,246.0,14.0,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
75%,0.0,246.0,14.0,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
max,0.0,255.0,14.0,0.347854,0.617528,0.196065,0.572101,393.464918,406.211272,513.538549
