,R,G,B,x,y,u`,v`,X,Y,Z
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,14.4,0.0,254.2,0.2711508,0.2586808,0.1943132,0.3944144,318.9958486,326.4756926,431.9573156
std,8.049844719,0.0,0.4472135955,0.063659066465,0.113246109934,0.00391714388298,0.136448445696,166.5179014,178.294175764,182.421183571
min,0.0,0.0,254.0,0.157274,0.0561,0.187306,0.150328,21.119571,7.533375,105.632382
25%,18.0,0.0,254.0,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
50%,18.0,0.0,254.0,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
75%,18.0,0.0,254.0,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
max,18.0,0.0,255.0,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
