,R,G,B,x,y,u`,v`,X,Y,Z
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,221.4,19.2,22.4,0.3680588,0.3141086,0.246691,0.4693016,323.7509074,329.6310284,411.1798578
std,18.782971011,10.733126292,12.521980674,0.153033809099,0.0106942187092,0.113203177429,0.0310044241488,155.885266686,171.238630423,228.880991611
min,213.0,0.0,0.0,0.29962,0.309326,0.196065,0.455436,44.894865,23.310054,1.745093
25%,213.0,24.0,28.0,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
50%,213.0,24.0,28.0,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
75%,213.0,24.0,28.0,0.29962,0.309326,0.196065,0.455436,393.464918,406.211272,513.538549
max,255.0,24.0,28.0,0.641814,0.333239,0.449195,0.524764,393.464918,406.211272,513.538549
