,unit_num,x,y,Y
count,4.0,4.0,4.0,4.0
mean,1.5,0.63851225,0.32252675,119.8125
std,1.29099444874,0.0168054239731,0.0115094124488,9.35563422044
min,0.0,0.616841,0.309139,109.67
25%,0.75,0.62969525,0.31758175,114.2675
50%,1.5,0.641485,0.3219275,119.015
75%,2.25,0.650302,0.3268725,124.56
max,3.0,0.654238,0.337113,131.55
