,unit_num,x,y,Y
count,4.0,4.0,4.0,4.0
mean,1.5,0.31590575,0.332183,184.6825
std,1.29099444874,0.00445579730052,0.00718338884743,9.01471898249
min,0.0,0.310146,0.325903,173.4
25%,0.75,0.313647,0.32665375,179.4225
50%,1.5,0.3166085,0.330825,186.5
75%,2.25,0.31886725,0.33635425,191.76
max,3.0,0.32026,0.341179,192.33
