,unit_num,x,y,Y
count,4.0,4.0,4.0,4.0
mean,1.5,0.2934085,0.60209075,144.97
std,1.29099444874,0.00925268762757,0.0142346975468,10.3463326836
min,0.0,0.285144,0.58661,132.34
25%,0.75,0.28849125,0.59202275,139.6525
50%,1.5,0.290966,0.6023935,145.375
75%,2.25,0.29588325,0.6124615,150.6925
max,3.0,0.306558,0.616966,156.79
