TimeStamp,Color,R,G,B,x,y,u`,v`,X,Y,Z
2026-01-07T11:35:55,Green,0,216,99,0.315845,0.513867,0.148029,0.541882,29.334726,47.72638,15.81578
2026-01-07T11:36:57,Red,238,103,92,0.454276,0.340032,0.294419,0.495848,28.195493,21.104755,12.766631
2026-01-07T11:37:17,Red,238,103,92,0.454458,0.339689,0.294751,0.495707,28.248825,21.114862,12.79572
2026-01-07T11:38:17,Yellow,253,214,99,0.413744,0.454904,0.216865,0.536488,54.075315,59.454748,17.167423
2026-01-07T11:39:17,White,255,255,255,0.302831,0.317328,0.195303,0.460469,83.499079,87.496279,104.732788
2026-01-07T11:40:18,Gray,128,134,139,0.293806,0.312972,0.190534,0.456667,20.880788,22.242923,27.946381
2026-01-07T11:41:26,Red1,255,0,0,0.641039,0.333089,0.448672,0.524551,22.076442,11.471109,0.890989
2026-01-07T11:47:20,Gray,128,134,139,0.29382,0.312929,0.19056,0.456645,20.876801,22.234548,27.941645
2026-01-08T11:33:48,Orange,255,163,134,0.293559,0.275981,0.205119,0.433883,13.372299,12.571564,19.608397
2026-01-08T11:33:55,Orange,255,163,134,0.293793,0.277033,0.204847,0.434614,13.353172,12.591435,19.506349
2026-01-08T11:34:03,Orange,255,163,134,0.293131,0.276811,0.204434,0.434367,13.31336,12.572159,19.532279
2026-01-08T11:34:13,Orange,255,163,134,0.294273,0.277296,0.205104,0.43486,13.336983,12.56755,19.417275
2026-01-08T11:34:47,Orange,255,163,134,0.33405,0.37361,0.196061,0.49338,74.597674,83.432062,65.28325
2026-01-08T11:34:56,Green,0,216,99,0.333809,0.373545,0.195929,0.493315,74.508486,83.377715,65.320596
2026-01-08T11:36:09,Orange,255,163,134,0.410927,0.353799,0.255881,0.495692,44.150126,38.012269,25.2779
2026-01-08T11:36:42,White,255,255,255,0.311474,0.316085,0.201926,0.461059,77.454256,78.600742,92.614815
2026-01-08T11:37:14,Orange,255,163,134,0.405995,0.353203,0.252703,0.494648,40.627799,35.344904,24.096935
2026-01-08T11:37:29,Blue,184,211,254,0.264074,0.265868,0.18655,0.422589,50.426986,50.769669,89.761371
2026-01-08T11:37:44,Green,0,216,99,0.322181,0.513608,0.151278,0.542612,25.765422,41.074179,13.132225
2026-01-08T11:37:59,Red,238,103,92,0.4693,0.331686,0.31071,0.494101,27.032516,19.105747,11.463577
2026-01-08T11:38:15,Yellow,253,214,99,0.420454,0.448533,0.223009,0.535279,48.616133,51.862849,15.148698
2026-01-08T11:38:40,Yellow,253,214,99,0.420792,0.448273,0.2233,0.535238,48.663529,51.841603,15.142287
2026-01-08T11:38:57,White,255,255,255,0.306179,0.314079,0.198927,0.459136,73.653964,75.554458,91.350205
2026-01-08T11:39:46,White,255,255,255,0.305888,0.313907,0.198786,0.458995,73.778976,75.713156,91.704267
2026-01-08T11:41:00,White,199,255,255,0.305595,0.31387,0.198592,0.45893,73.72993,75.726355,91.810436
2026-01-08T11:42:26,White,199,255,255,0.305563,0.313991,0.198521,0.458994,73.649467,75.681052,91.698473
2026-01-08T11:42:50,Gray,128,134,139,0.297104,0.310543,0.193796,0.455764,17.970153,18.783025,23.731226
2026-01-08T11:43:14,Yellow,253,214,99,0.421199,0.448154,0.223582,0.535255,48.764619,51.885448,15.12577
2026-01-08T11:44:23,Yellow,209,212,103,0.392448,0.458803,0.203321,0.534823,40.58379,47.445702,15.3825
2026-01-08T11:44:50,Yellow,209,212,103,0.422595,0.448046,0.224445,0.535416,49.714235,52.708302,15.217963
2026-01-08T11:45:40,Yellow,209,212,103,0.392908,0.459131,0.20348,0.534996,40.577524,47.416746,15.280721
2026-01-08T11:46:31,Yellow,253,214,99,0.420482,0.448642,0.222986,0.53532,48.62042,51.876557,15.133317
2026-01-08T11:53:20,White,199,255,255,0.282069,0.31471,0.181617,0.455927,62.952797,70.23779,89.991708
2026-01-08T11:53:21,White,199,255,255,0.304994,0.313726,0.198218,0.458759,73.45868,75.561818,91.832459
2026-01-08T11:53:35,White,199,255,255,0.305065,0.313576,0.198327,0.458684,73.506766,75.557532,91.890192
2026-01-08T11:54:39,White,199,255,255,0.304591,0.313445,0.198039,0.458539,73.456731,75.591848,92.116294
2026-01-08T11:54:55,White,199,255,250,0.307554,0.319172,0.197944,0.462199,72.654462,75.399024,88.17993
2026-01-08T11:55:30,White,199,255,245,0.311034,0.324875,0.198223,0.46585,71.933497,75.134722,84.204159
2026-01-08T11:55:58,White,190,255,245,0.306134,0.325063,0.194727,0.465226,69.763134,74.076664,84.044204
2026-01-08T11:56:19,White,188,255,245,0.304759,0.324709,0.193898,0.46483,69.273397,73.808262,84.223969
2026-01-08T11:58:07,Gray,94,139,146,0.286829,0.306612,0.18791,0.451957,18.516042,19.793067,26.245103
2026-01-08T11:58:32,Orange,255,163,134,0.405223,0.360804,0.248634,0.498103,35.543414,31.647262,20.522468
2026-01-08T11:59:12,Blue,184,211,254,0.262429,0.273265,0.182422,0.427398,49.095467,51.122703,86.862823
2026-01-08T11:59:49,Green,0,216,99,0.325291,0.5112,0.15337,0.542303,26.928219,42.318032,13.53557
2026-01-08T12:00:03,Red,238,103,92,0.485152,0.334699,0.320969,0.498222,22.454627,15.491105,8.337945
2026-01-08T12:02:53,Red,238,103,92,0.471266,0.333383,0.311166,0.495282,26.848415,18.993106,11.129305
2026-01-08T12:03:12,Yellow,253,214,99,0.422354,0.453841,0.222251,0.537345,48.066137,51.649526,14.089745
2026-01-08T12:03:26,White,255,255,255,0.3034,0.316845,0.19589,0.460282,71.496612,74.664773,89.489607
2026-01-08T12:03:41,Gray,128,134,139,0.293972,0.313014,0.190636,0.456716,17.354924,18.479096,23.202019
2026-01-08T12:03:56,Orange,255,163,134,0.405869,0.356105,0.251253,0.496005,39.812999,34.931509,23.348826
2026-01-08T12:04:13,Blue,184,211,254,0.260974,0.269853,0.182618,0.42487,48.237947,49.879065,86.72077
2026-01-08T12:04:28,Green,0,216,99,0.32209,0.520955,0.149683,0.544724,25.261295,40.858091,12.309827
2026-01-08T12:04:41,Red,238,103,92,0.470618,0.333653,0.310506,0.495312,26.782551,18.987951,11.138796
2026-01-08T12:04:56,Yellow,253,214,99,0.422355,0.453168,0.222488,0.537119,48.124207,51.635071,14.183285
2026-01-08T12:05:10,White,255,255,255,0.303166,0.31705,0.195646,0.460362,71.378105,74.646917,89.417204
2026-01-08T12:05:24,Gray,128,134,139,0.293993,0.313018,0.19065,0.456721,17.372222,18.496432,23.221982
2026-01-08T12:07:37,White,255,255,255,0.303049,0.317039,0.195567,0.460339,71.329809,74.622507,89.421208
2026-01-08T12:09:05,Yellow,253,214,99,0.422452,0.453236,0.222521,0.537156,48.153496,51.662439,14.169713
2026-01-08T12:10:27,Red,238,103,92,0.471028,0.333039,0.311197,0.495069,26.813519,18.958401,11.15358
2026-01-08T12:11:36,Green,0,216,99,0.321223,0.520364,0.149373,0.544445,25.193362,40.811888,12.424254
2026-01-08T12:12:42,Blue,184,211,254,0.261019,0.269645,0.182732,0.424734,48.225296,49.818883,86.713359
2026-01-08T12:13:54,Orange,255,163,134,0.405789,0.356176,0.251164,0.496026,39.75319,34.892845,23.319083
2026-01-08T12:36:56,Orange,128,0,128,0.278727,0.127097,0.280995,0.288295,50.047691,22.821286,106.68916
2026-01-08T12:48:59,Purple,128,0,128,0.278325,0.127031,0.280589,0.288145,49.893839,22.772229,106.598623
2026-01-08T12:49:35,Purple,128,0,128,0.270438,0.129045,0.269921,0.289795,10.58209,5.049445,23.497924
2026-01-08T12:54:07,Purple,128,0,128,0.270535,0.128467,0.270499,0.289013,10.602715,5.034852,23.554079
2026-01-08T13:27:53,Orange,255,163,134,0.404248,0.361691,0.247557,0.498365,51.062602,45.686998,29.565554
2026-01-08T15:21:56,Red,238,103,92,0.469236,0.337668,0.307014,0.497095,34.197715,24.609098,14.072727
2026-01-08T15:36:19,Gray,38,191,153,0.325988,0.317806,0.211622,0.464199,27.704106,27.008785,30.272177
2026-01-08T15:36:19,Gray,38,191,153,0.325625,0.318103,0.21124,0.46431,27.704496,27.06447,30.311911
2026-01-08T15:36:38,Orange,255,163,134,0.325408,0.31838,0.210971,0.464431,27.62685,27.030128,30.24205
2026-01-08T15:37:09,Orange,255,163,134,0.448436,0.359646,0.279448,0.504265,70.510512,56.549517,30.176539
2026-01-08T15:37:25,Gray,128,134,139,0.325239,0.318349,0.210861,0.464389,27.65542,27.069618,30.306097
2026-01-08T15:37:42,Gray,128,134,139,0.299231,0.316666,0.193004,0.459563,23.458146,24.824971,30.11176
